row,col,has_package,UP,DOWN,LEFT,RIGHT
3,25,False,-3.76611,-1.9969,-0.24666,0.0
3,25,True,-1.5,-1.4,-1.4,0.0
3,27,False,-3.558,0.0,0.0,0.0
3,27,True,-1.6,0.0,0.0,0.0
4,0,False,-3.8,-3.7,0.0,0.0
4,0,True,-0.6,-0.5,0.0,0.0
4,5,False,-3.55,-3.45,0.0,0.0
4,5,True,-2.14818,0.77079,0.0,0.0
4,7,False,-3.45,-2.57203,0.0,-3.06632
4,7,True,-0.55,-0.45,0.0,-0.55
4,8,False,-4.01048,-3.3,-4.07584,0.0
4,8,True,-0.6,-0.5,-0.5,0.0
4,10,False,0.0,-2.91776,0.0,-2.96245
4,10,True,0.0,-0.6,0.0,-0.7
4,11,False,-4.46873,-3.52343,-4.64728,-2.19235
4,11,True,-0.75,-0.65,-0.65,-0.75
4,12,False,-4.36689,-2.96265,-5.30681,0.0
4,12,True,-0.8,-0.7,-0.7,0.0
4,14,False,-4.636,-2.34472,0.0,-2.53251
4,14,True,-2.02642,-0.19409,0.0,-1.52625
4,15,False,-4.69263,-1.73289,-4.6377,-1.96771
4,15,True,-2.37489,-0.59032,-0.28786,-0.95
4,16,False,-4.94053,-1.46602,-4.68598,-2.10372
4,16,True,-2.49837,-0.9,-0.18655,-1.88885
4,17,False,-4.83782,-0.98155,-4.69301,0.0
4,17,True,-1.7484,-0.5678,-0.57008,0.0
4,20,False,-1.42196,0.0,0.0,3.22575
4,20,True,-1.2,0.0,0.0,-1.2
4,21,False,-0.06499,4.98289,-2.69278,3.42579
4,21,True,-1.25,-1.15,-1.15,-1.25
4,22,False,-0.27486,3.6557,0.75121,0.0
4,22,True,-1.3,-1.2,-1.2,0.0
4,25,False,-3.83114,0.66449,0.0,-0.86502
4,25,True,-1.45,-1.35,0.0,-1.45
4,26,False,0.0,3.73156,-1.96909,0.0
4,26,True,0.0,-1.4,-1.4,0.0
4,28,False,0.0,-0.64446,0.0,0.0
4,28,True,0.0,-1.5,0.0,0.0
4,30,False,0.0,-0.82677,0.0,-4.91239
4,30,True,0.0,-1.6,0.0,-1.7
4,31,False,0.0,-0.18615,-0.56872,0.0
4,31,True,0.0,-1.65,-1.65,0.0
5,0,False,-3.75,0.0,0.0,-3.65
5,0,True,-0.55,0.0,0.0,-0.45
5,1,False,0.0,0.0,-3.7,-3.6
5,1,True,0.0,0.0,-0.5,0.23134
5,2,False,0.0,-3.55,-3.65,-3.55
5,2,True,0.0,0.26568,-2.87387,0.3336
5,3,False,0.0,-3.5,-3.6,0.0
5,3,True,0.0,0.59073,-1.89918,0.0
5,5,False,-3.5,-3.11584,0.0,-3.4
5,5,True,-1.49894,2.28398,0.0,-1.40765
5,6,False,0.0,-3.62499,-4.12536,-2.82341
5,6,True,0.0,-0.62632,1.9577,-1.15416
5,7,False,-4.31138,-2.24568,-4.07584,-3.3
5,7,True,-0.5,-0.4,0.36839,-0.5
5,8,False,-3.35,0.0,-3.35,-3.25
5,8,True,-0.55,0.0,-0.45,-0.55
5,9,False,0.0,-3.2,-3.3,-3.2
5,9,True,0.0,-0.5,-0.5,-0.6
5,10,False,-4.58225,-3.15,-3.25,-3.15
5,10,True,-0.65,-0.55,-0.55,-0.65
5,11,False,-4.11776,-2.81872,-3.2,-2.7417
5,11,True,-0.7,-0.6,-0.6,-0.7
5,12,False,-3.15,-2.1674,-6.26703,-2.7692
5,12,True,-0.75,-0.18276,-0.65,-1.44708
5,13,False,0.0,-3.0,-3.1,-2.71968
5,13,True,0.0,-0.7,-0.6679,-0.8
5,14,False,-4.66118,0.0,-3.05,-1.89453
5,14,True,-1.93207,0.0,-0.75,-1.43148
5,15,False,-4.4885,-1.17208,-3.99481,-2.14374
5,15,True,-0.9,0.28029,-0.8,-0.9
5,16,False,-4.59341,0.36824,-4.32426,-1.15515
5,16,True,-2.41999,-0.51687,-0.85,-0.95
5,17,False,-5.13889,0.29685,-4.7745,1.98068
5,17,True,-2.56437,0.23484,-0.86452,-1.69305
5,18,False,0.0,3.31162,-3.75405,0.0
5,18,True,0.0,-0.68936,-0.5532,0.0
5,21,False,0.72475,10.16023,0.0,5.4577
5,21,True,-1.2,-0.6199,0.0,-1.2
5,22,False,0.16163,14.11397,2.49237,0.30496
5,22,True,-1.25,-1.15,-0.82706,-1.25
5,23,False,0.0,0.0,1.17652,-3.56778
5,23,True,0.0,0.0,-1.2,-1.3
5,24,False,0.0,0.0,-0.19426,-3.49579
5,24,True,0.0,0.0,-1.25,-1.35
5,25,False,-6.23934,0.0,-0.00406,0.1435
5,25,True,-1.4,0.0,-1.3,-1.4
5,26,False,-0.03418,3.64483,0.25157,0.10126
5,26,True,-1.45,-1.35,-1.35,-1.45
5,27,False,0.0,4.41314,4.23499,-3.88935
5,27,True,0.0,-1.4,-1.4,-1.5
5,28,False,-5.10662,0.0,3.28863,-8.57125
5,28,True,-1.55,0.0,-1.45,-1.55
5,29,False,0.0,-2.67568,-2.83751,-5.32804
5,29,True,0.0,-1.5,-1.5,-1.6
5,30,False,-4.39376,0.82827,-4.45778,-3.51194
5,30,True,-1.65,-1.55,-1.55,-2.33645
5,31,False,-4.66497,0.76901,-1.10929,0.0
5,31,True,-1.7,-1.33312,-1.57312,0.0
6,2,False,-3.6,0.0,0.0,-3.5
6,2,True,-1.43803,0.0,0.0,0.95253
6,3,False,-3.55,0.0,-3.55,-3.45
6,3,True,-1.77705,0.0,-1.86422,1.41525
6,4,False,0.0,-3.4,-3.5,-3.4
6,4,True,0.0,0.70701,-1.94321,-1.44501
6,5,False,-3.45,-3.35,-3.45,-4.02626
6,5,True,-1.51876,-0.54177,1.65211,-4.42599
6,6,False,-4.58948,-2.99723,-3.4,-2.37
6,6,True,-1.53378,0.30778,0.94524,-1.03305
6,7,False,-4.45521,-2.75241,-6.34275,0.0
6,7,True,-1.07797,-0.03929,-0.62632,0.0
